name,genre,cost,platform,popularity,pegi,year,developer,publisher,region,mode,engine,award,dlc_support,language,metascore,user_score,reviews,rating_source,copies_sold_millions,revenue_millions_usd
Super Mario Odyssey,Action,74.45,Mobile,56,7+,2011,Capcom,Square Enix,?,Multiplayer,CryEngine,Indie Award,Unknown,JP,?,?,9.388708962265735,Metacritic ,41.93,?
God of War,RPG ,0,Mobile,?,7+,2023,Rockstar,Nintendo,Global ,Online,Unity,?,Y,DE,98.1,8.4,?,IGN ,1.5M,N/A
Persona 5 Royal,Shooter,Free,PS,64,12,2020,nintendo,Square Enix,NA,Single-player,Custom Engine,GotY,Y,DE,31.7,2.6,?,IGN,25.08,889.0
NBA 2K24,Puzzle,N/A,Mobile,972.7113240416031,RP,2017,Sony,Square Enix,Global ,Single-player,Custom Engine,NONE,?,ES,80/100,N/A,?,OpenCritic,N/A,$500M
Overwatch,?,33.4,PC,612.6268621737502,18+,2015,Nintendo,Bandai Namco,NA/EU,Multiplayer,Custom,Indie Award,Unknown,IT,36.0,2.3,N/A,Metacritic,N/A,$1B
Dark Souls III,Action,Free,Mobile,N/A,18,2014,Ubisoft,Nintendo,NA,Multiplayer,Unity,NONE,Y,EN,?,?,13941.743911746718,OpenCritic,26.35,$500M
N/A,Puzzle,24.9,PC,199.27294042476885,12,1995,Square Enix,Sega,EU,Online,Frostbite,NONE,Unknown,ES,?,9/10,11654,Steam,30M,$500M
Cyberpunk 2077,Indie,N/A,Mobile,694.1891540890542,3,2007,Bethesda,Square Enix,JP,Multi ,?,GotY,Maybe,ES,N/A,5.5,7659,IGN ,1.5M,$1B
Grand Theft Auto V,Indie,?,Mobile,?,18+,2019,Capcom,Bandai Namco,JP,Single-player,Unity ,Indie Award,N,EN/ES,N/A,N/A,?,?,N/A,$500M
Untitled Project,Unknown,Free,Nintendo Switch,?,unknown,2000,Capcom,IndiePub,Global,Multiplayer,CryEngine,None,Unknown,IT,80/100,?,44126,Metacritic,30M,?
Valorant,Simulation,N/A,Switch ,?,unknown,2007,CapCom,Sega,NA/EU,Single-player,CryEngine,?,Unknown,EN,84.8,3.1,?,Metacritic,1.5M,?
N/A,?,35.44,PC,124.5538003255977,16,?,nintendo,EA,EU,Multiplayer,Unity,None,Unknown,ES,80/100,?,40058,Metacritic ,46.29,$500M
Persona 5 Royal,Adventure,$52,Xbox,?,18+,1991,Ubisoft,Sega,Global ,Online,Custom,NONE,Y,FR,?,9/10,36553,Metacritic,N/A,N/A
Valorant,Strategy,N/A,Xbox,?,16,2008,Bethesda,IndiePub,EU,?,Unity,Indie Award,No,Multiple,62.9,9/10,N/A,Metacritic ,N/A,788.3
Animal Crossing: New Horizons,Action,?,PS,723.0524366577208,16,2020,Rockstar,Square Enix,NA,Single-player,Frostbite,NONE,?,?,N/A,N/A,N/A,Metacritic,1.5M,$1B
The Legend of Zelda: Breath of the Wild,action,$59,Nintendo Switch,166.78324448904692,7+,2019,Nintendo,2K,JP,Multiplayer,Unreal Engine,None,Maybe,PT,71.8,9/10,N/A,Metacritic ,N/A,$1B
Fortnite,RPG,?,XBOX,457.5391888143131,12,2018,Ubisoft,Sega,JP,?,Custom Engine,?,Yes,FR,?,?,26661.865952669315,Metacritic,1.5M,N/A
Red Dead Redemption 2,Action,0,pc,N/A,unknown,2021,Nintendo,Sega,?,Co-op,CryEngine,GotY,?,FR,N/A,N/A,48618,Metacritic,1.5M,$1B
Grand Theft Auto V,?,54.14,Nintendo Switch,N/A,3,2008,Ubisoft,EA,JP,?,Unity,Indie Award,Yes,EN,N/A,?,12589.093963071451,OpenCritic,18.59,N/A
Dark Souls III,RPG ,?,PC,?,RP,1986,Ubisoft ,Microsoft,JP,Online,Unity,GotY,Maybe,ES,80/100,9/10,N/A,Steam,30M,$1B
God of War,?,?,PlayStation,N/A,unknown,2024,Square Enix,Nintendo,JP,Multi ,Unreal Engine,GOTY ,Unknown,DE,55.6,0.2,N/A,IGN ,32.58,?
